ID,ShotsCode,EquipmentID,TriggerTime,Monitor,CreateTime
3,78,192.168.0.101,2020-07-20 09:58:42,"240,235,236,230,225,247,48,0,999,999,44.40,41.40,104.50,465,90,0,0,0,543,690,760,250,180,0,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,221,328,872,1170,1014,180,0.0,180,0.0,-39,0.1,-39,0.1,0.00,49.62,7.46,8.85,11.8,60.10,63.10,999,0,0,66.66,0,1328,50.2,37.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88",2020-07-20 09:58:25.613
9,79,192.168.0.101,2020-07-20 09:59:32,"240,235,236,230,225,248,48,0,999,999,44.40,41.50,104.50,465,90,0,0,0,547,690,760,250,180,0,100,0,0,0,1.6,3.0,25.1,49.9,29.6,0.0,227,326,870,1170,1014,180,0.0,180,0.0,-39,0.1,-39,0.1,0.00,49.62,7.46,8.79,11.7,60.10,63.01,999,0,0,66.57,0,1326,50.2,37.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92",2020-07-20 09:59:15.643
12,535,192.168.0.101,2020-07-20 16:46:00,"240,235,236,230,225,248,49,0,999,999,44.40,41.17,104.50,465,90,0,0,0,540,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.9,29.6,0.1,216,326,866,1168,1011,180,0.1,180,0.1,-37,0.0,-37,0.0,0.00,49.62,7.46,8.94,11.9,60.10,63.33,999,0,0,67.19,0,1321,50.2,37.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A6",2020-07-20 16:46:38.657
13,536,192.168.0.101,2020-07-20 16:46:50,"240,235,236,230,225,248,49,0,999,999,44.40,41.07,104.50,465,90,0,0,0,537,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,209,327,865,1167,1010,180,0.0,180,0.0,-37,0.0,-37,0.0,0.00,49.62,7.46,8.97,11.9,60.10,63.43,999,0,0,67.29,0,1320,50.2,37.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B0",2020-07-20 16:46:38.670
171,537,192.168.0.101,2020-07-20 16:47:39,"240,235,236,230,225,248,49,0,999,999,44.40,41.11,104.50,465,90,0,0,0,538,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,212,327,866,1167,1011,180,0.1,180,0.1,-37,0.1,-37,0.1,0.00,49.62,7.46,8.96,11.9,60.10,63.39,999,0,0,67.26,0,1321,50.2,37.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BB",2020-07-20 16:48:19.977
179,538,192.168.0.101,2020-07-20 16:48:29,"240,235,236,230,225,248,49,0,999,999,44.40,41.22,104.50,465,90,0,0,0,541,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,219,326,868,1173,1013,180,0.0,180,0.0,-36,0.1,-36,0.1,0.00,49.62,7.46,8.93,11.8,60.10,63.28,999,0,0,67.15,0,1326,50.2,37.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B9",2020-07-20 16:48:27.120
186,539,192.168.0.101,2020-07-20 16:49:19,"240,235,236,230,225,248,49,0,999,999,44.40,41.08,104.50,465,90,0,0,0,538,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,210,329,868,1170,1012,180,0.1,180,0.1,-37,0.1,-37,0.1,0.00,49.62,7.46,8.95,11.9,60.10,63.42,999,0,0,67.28,0,1322,50.2,37.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BA",2020-07-20 16:49:03.177
193,540,192.168.0.101,2020-07-20 16:50:08,"240,235,236,230,225,248,49,0,999,999,44.40,41.14,104.50,465,90,0,0,0,539,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,214,327,867,1168,1011,180,0.1,180,0.1,-37,0.0,-37,0.0,0.00,49.62,7.46,8.93,11.9,60.10,63.36,999,0,0,67.23,0,1321,50.2,37.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AB",2020-07-20 16:49:53.237
198,541,192.168.0.101,2020-07-20 16:50:58,"240,235,236,230,225,248,49,0,999,999,44.40,41.21,104.50,465,90,0,0,0,540,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,218,327,868,1170,1011,180,0.0,180,0.0,-37,0.1,-37,0.1,0.00,49.62,7.46,8.88,11.8,60.10,63.29,999,0,0,67.16,0,1324,50.2,37.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AC",2020-07-20 16:50:43.280
205,542,192.168.0.101,2020-07-20 16:51:47,"240,235,236,230,225,248,48,0,999,999,44.40,41.11,104.50,465,90,0,0,0,538,630,810,260,180,4,99,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,211,328,868,1169,1011,180,0.1,180,0.1,-37,0.0,-37,0.0,0.00,49.62,7.46,8.89,11.8,60.10,63.39,999,0,0,67.25,0,1322,50.2,37.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B5",2020-07-20 16:51:32.333
